PING 10.50.1.127 (10.50.1.127) 56(124) bytes of data.
64 bytes from 10.50.1.127: icmp_seq=1 ttl=63 time=1.13 ms
RR: 	192.168.200.11
	192.168.200.136
	192.168.200.172
	192.168.200.168
	192.168.200.172
	192.168.200.137
	10.50.1.147
	10.50.1.127
	10.50.1.127

64 bytes from 10.50.1.127: icmp_seq=71 ttl=63 time=1.84 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=72 ttl=63 time=1.88 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=73 ttl=63 time=1.91 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=74 ttl=63 time=1.63 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=75 ttl=63 time=1.97 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=76 ttl=63 time=1.96 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=77 ttl=63 time=2.41 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=78 ttl=63 time=1.91 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=79 ttl=63 time=1.74 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=80 ttl=63 time=1.84 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=81 ttl=63 time=1.94 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=82 ttl=63 time=1.50 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=83 ttl=63 time=1.86 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=84 ttl=63 time=1.39 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=85 ttl=63 time=2.02 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=86 ttl=63 time=1.62 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=87 ttl=63 time=1.81 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=88 ttl=63 time=1.70 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=89 ttl=63 time=1.54 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=90 ttl=63 time=1.74 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=91 ttl=63 time=1.63 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=92 ttl=63 time=1.91 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=93 ttl=63 time=1.61 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=94 ttl=63 time=1.63 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=95 ttl=63 time=1.68 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=96 ttl=63 time=1.70 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=97 ttl=63 time=1.56 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=98 ttl=63 time=1.99 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=99 ttl=63 time=1.93 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=100 ttl=63 time=1.86 ms	(same route)

--- 10.50.1.127 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99166ms
rtt min/avg/max/mdev = 1.134/1.712/2.410/0.234 ms
