vnf0;vnf1;vnf2;vnf3;vnf4;vnf5
1.06;1.30;1.60;1.56;1.64;2.05
1.06;1.31;1.60;1.56;1.64;2.06
1.07;1.31;1.60;1.56;1.64;2.06
1.07;1.31;1.60;1.56;1.64;2.06
1.07;1.31;1.61;1.56;1.64;2.06
1.07;1.31;1.61;1.56;1.65;2.06
1.07;1.31;1.61;1.56;1.65;2.06
1.07;1.31;1.61;1.56;1.65;2.07
1.08;1.31;1.61;1.57;1.65;2.07
1.08;1.31;1.61;1.57;1.66;2.07
1.08;1.31;1.62;1.57;1.66;2.07
1.08;1.32;1.62;1.57;1.67;2.07
1.09;1.32;1.62;1.57;1.67;2.07
1.09;1.32;1.63;1.57;1.67;2.07
1.09;1.32;1.63;1.58;1.67;2.08
1.10;1.33;1.63;1.58;1.67;2.08
1.10;1.33;1.63;1.58;1.68;2.08
1.10;1.33;1.63;1.58;1.68;2.09
1.10;1.33;1.64;1.59;1.69;2.09
1.10;1.33;1.64;1.59;1.69;2.09
1.11;1.34;1.64;1.59;1.69;2.09
1.11;1.34;1.64;1.59;1.69;2.09
1.11;1.35;1.64;1.59;1.70;2.10
1.11;1.35;1.65;1.59;1.70;2.10
1.11;1.35;1.65;1.60;1.70;2.10
1.11;1.36;1.66;1.60;1.70;2.10
1.12;1.36;1.66;1.60;1.71;2.11
1.12;1.36;1.66;1.61;1.72;2.11
1.12;1.36;1.66;1.61;1.73;2.12
1.13;1.36;1.67;1.61;1.76;2.12
1.13;1.37;1.67;1.61;1.77;2.12
1.13;1.37;1.67;1.61;1.77;2.12
1.14;1.37;1.68;1.62;1.78;2.12
1.14;1.37;1.68;1.62;1.79;2.12
1.15;1.38;1.68;1.62;1.79;2.12
1.15;1.38;1.69;1.63;1.80;2.13
1.16;1.38;1.70;1.63;1.80;2.16
1.16;1.39;1.70;1.64;1.80;2.17
1.16;1.39;1.70;1.64;1.80;2.17
1.16;1.40;1.70;1.64;1.81;2.18
1.17;1.40;1.70;1.64;1.81;2.18
1.17;1.42;1.71;1.65;1.82;2.18
1.17;1.43;1.71;1.65;1.83;2.19
1.17;1.43;1.71;1.65;1.84;2.19
1.17;1.43;1.71;1.65;1.84;2.20
1.18;1.44;1.71;1.66;1.85;2.21
1.18;1.44;1.73;1.66;1.87;2.21
1.18;1.46;1.73;1.66;1.87;2.21
1.18;1.47;1.74;1.67;1.90;2.21
1.18;1.49;1.78;1.68;1.91;2.22
1.19;1.50;1.78;1.69;1.95;2.22
1.21;1.51;1.78;1.69;1.95;2.22
1.23;1.51;1.79;1.69;1.98;2.24
1.23;1.52;1.79;1.69;1.98;2.25
1.23;1.54;1.79;1.69;2.00;2.27
1.23;1.56;1.80;1.72;2.01;2.28
1.24;1.58;1.80;1.74;2.02;2.29
1.25;1.59;1.80;1.74;2.03;2.30
1.26;1.61;1.83;1.77;2.03;2.30
1.27;1.62;1.92;1.77;2.03;2.31
1.29;1.63;1.96;1.78;2.09;2.31
1.29;1.65;1.97;1.78;2.11;2.32
1.30;1.66;2.16;1.79;2.13;2.35
1.32;1.67;2.17;1.84;2.19;2.42
1.36;1.68;2.18;1.85;2.22;2.42
1.47;1.68;2.37;2.41;2.26;2.45
